# name	group	country	url
A2 CNN Albania	Albania	AL	https://tv.a2news.com/live/smil:a2cnnweb.stream.smil/playlist.m3u8
ADN TV+ (720p)	Animation	FR	https://d3b73b34o7cvkq.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-gz2sgqzp076kf/adn.m3u8
Animation+ (1080p) [Geo-blocked]	Animation	US	https://pb-ioe9d0fpkd6pp.akamaized.net/playlist.m3u8
Animax Asia India (1080p) [Geo-blocked]	Animation	SG	https://amg02159-kcglobal-amg02159c1-samsung-in-521.playouts.now.amagi.tv/playlist/amg02159-kcglobal-animax-samsungin/playlist.m3u8
ANIME x HIDIVE (720p) [Geo-blocked]	Animation	US	https://d3f088nnrrvkwf.cloudfront.net/v1/amc_anime_x_hidive_1/samsungheadend_us/latest/main/hls/playlist.m3u8
Aniplus Asia (720p)	Animation	SG	https://amg18481-amg18481c1-amgplt0352.playout.now3.amagi.tv/playlist/amg18481-amg18481c1-amgplt0352/playlist.m3u8
Blues TV	Animation	US	https://2-fss-2.streamhoster.com/pl_138/205510-3094608-1/playlist.m3u8
Cartoon Classics	Animation	PL	https://daiconnect.com/live/hls/tvup/rk-cartoonclassics/578f4b7eb725168349ec0af81b21d388/index.m3u8
Crunchyroll (720p)	Animation	US	https://jmp2.uk/plu-65652f7fc0fc88000883537a.m3u8
Daria	Animation	DE	https://jmp2.uk/plu-6683b680efa2a10008e8a393.m3u8
Disney Channel Latin America	Animation	AR	https://streamer.metronethn.com/DisneyChannel/index.m3u8
Disney Jr. Latin America	Animation	AR	http://tr.live.clarovtrcdn.vtrplay.com/disneyjrhdchi/vxfmt=dp/playlist.m3u8?device_profile=STB_HLS_VCAS_LIVE_HD
eSports Max TV	Animation	VE	https://cdnlive.klicgo.net/esportsmax/live/playlist_dvr.m3u8
FAN	Animation	RU	http://stream.mcquack.net/420/index.m3u8
FilmRise Anime (720p)	Animation	US	https://dvu7aia8rjlfm.cloudfront.net/master.m3u8
Gong (1080p)	Animation	FR	https://amg01596-gongnetworks-gong-ono-vh5f2.amagi.tv/1080p-vtt/index.m3u8
Las Tortugas Ninja (720p)	Animation	US	https://jmp2.uk/plu-63dd5d7a4e83e700088fbca8.m3u8
MAX Anime (1080p)	Animation	VE	https://cdnlive.klicgo.net/maxanime/live/playlist.m3u8
Mr Bean Animated	Animation	GB	https://jmp2.uk/plu-69fca9f9b9c0f0d444f631ca.m3u8
Mr Bean Animated	Animation	GB	https://amg00627-amg00627c28-rakuten-uk-3984.playouts.now.amagi.tv/playlist/amg00627-banijayfast-mrbeanukcc-rakutenuk/playlist.m3u8
Mr Bean Animated	Animation	GB	https://amg00627-amg00627c23-samsung-gb-3927.playouts.now.amagi.tv/playlist.m3u8
Mr Bean Animated	Animation	GB	https://d2t1w90tnft92.cloudfront.net/Mr_Bean_Animated.m3u8
Naruto	Animation	US	https://jmp2.uk/plu-5f6df5a173d7340007c559f7.m3u8
Naruto	Animation	US	https://jmp2.uk/plu-5ee92e72fb286e0007285fec.m3u8
Naruto	Animation	US	https://jmp2.uk/plu-5da0c85bd2c9c10009370984.m3u8
Naruto (1080p)	Animation	US	https://d21vn5eki5qsdi.cloudfront.net/playlist.m3u8
Naruto (720p)	Animation	US	https://jmp2.uk/plu-65d5fc39a25d5e00082895c4.m3u8
Naruto Shippuden	Animation	US	https://jmp2.uk/plu-64c92f965580090008084968.m3u8
Naruto Shippuden	Animation	US	https://jmp2.uk/plu-64c92fea3c3344000869e8a9.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-624b1c8d4321e200073ee421.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-62e94ec74823db0007277a8f.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-6380c94947c72b0007ee9a13.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-5ff4b9ccf938f8000779eb99.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-680ba8992472a7200a183eb5.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-69affcad8940750a23a7231a.m3u8
One Piece	Animation	US	https://jmp2.uk/plu-5f7790b3ed0c88000720b241.m3u8
Pixel TV	Animation	PL	https://jmp2.uk/plu-62790dc1c733e8000733ba4d.m3u8
Pixel TV	Animation	PL	https://jmp2.uk/plu-66bb36e03a4ad200082bb8fe.m3u8
Placid (1080p) [Not 24/7]	Animation	US	https://toy.vcdn.fyi/placid/index.m3u8
Pluto TV Anime	Animation	DE	https://jmp2.uk/plu-608181d420fc8500075f612a.m3u8
Pluto TV Anime	Animation	DE	https://jmp2.uk/plu-608035b8d8705f0007260287.m3u8
Pluto TV Anime	Animation	DE	https://jmp2.uk/plu-65b90daed77d450008a43345.m3u8
Pluto TV Anime	Animation	US	https://jmp2.uk/plu-5f12136385bccc00070142ed.m3u8
Pluto TV Anime	Animation	US	https://jmp2.uk/plu-68d25b620a0f3829b116bb6f.m3u8
Pluto TV Anime	Animation	US	https://jmp2.uk/plu-5dcde17bf6591d0009839e02.m3u8
Pluto TV Anime	Animation	US	https://jmp2.uk/plu-5812b7d3249444e05d09cc49.m3u8
Pluto TV Anime Ação	Animation	US	https://jmp2.uk/plu-604b79c558393100078faeef.m3u8
Pluto TV Anime Movies	Animation	US	https://jmp2.uk/plu-67ed8f7e443f0671bc2b2368.m3u8
Pluto TV Pokemon	Animation	US	https://jmp2.uk/plu-66ebf4a88131f10008b74739.m3u8
Pluto TV Pokemon	Animation	US	https://jmp2.uk/plu-6870072ca9d5c45c3e9466f1.m3u8
Pluto TV Pokemon	Animation	US	https://jmp2.uk/plu-6675c7868768aa0008d7f1c7.m3u8
Pluto TV Star Trek: Animation	Animation	DE	https://jmp2.uk/plu-69492467ae33e24d916e56cf.m3u8
Solnce	Animation	RU	http://217.114.191.150/Solnce/index.m3u8
Solnce	Animation	RU	http://stream.mcquack.net/118/index.m3u8
Solnce	Animation	RU	https://tv.mediacdn.ru/live/solntse/playlist.m3u8
Solnce	Animation	RU	http://tv.mediacdn.ru/live/solntse/playlist.m3u8
Solnce	Animation	RU	http://zabava-htlive.cdn.ngenix.net/hls/CH_DISNEY/variant.m3u8
Sonic TV	Animation	US	https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=16764
Sonic TV (720p)	Animation	US	https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=2260
Tokusato	Animation	US	https://jmp2.uk/plu-5ff609de50ab210008025c1b.m3u8
Tokusato	Animation	US	https://jmp2.uk/plu-5ff608e60e2996000768c366.m3u8
Yu-Gi-Oh!	Animation	US	https://jmp2.uk/plu-63988a50be012600070f5db3.m3u8
Yu-Gi-Oh!	Animation	US	https://jmp2.uk/plu-642d4493aa2d690008f0a03f.m3u8
Yu-Gi-Oh!	Animation	US	https://jmp2.uk/plu-63eb96754e83e70008ab8941.m3u8
Yu-Gi-Oh!	Animation	US	https://jmp2.uk/plu-6130d9c712c2b000070abb50.m3u8
Yu-Gi-Oh!	Animation	US	https://jmp2.uk/plu-63eb82e24e83e70008ab735f.m3u8
Yu-Gi-Oh!	Animation	US	https://jmp2.uk/plu-5fceaab478f2af00080ff51f.m3u8
Yu-Gi-Oh!	Animation	US	https://jmp2.uk/plu-5f4ec10ed9636f00089b8c89.m3u8
Yu-Gi-Oh!	Animation	US	https://dwgcgcahlni2h.cloudfront.net/playlist.m3u8
Yu-Gi-Oh! (1080p)	Animation	US	https://amg01796-amg01796c19-rakuten-gb-7486.playouts.now.amagi.tv/playlist/amg01796-fastmediafast-yugioh2en-rakutengb/playlist.m3u8
RetroCrush (1080p)	Animation;Classic	US	https://linear-899.frequency.stream/dist/cineverse/899/hls/master/playlist.m3u8
Comedy Central South Park	Animation;Comedy	DE	https://jmp2.uk/plu-60c716084d842c00085f6e64.m3u8
Comedy Central South Park	Animation;Comedy	US	https://jmp2.uk/plu-609ae66b359b270007869ff1.m3u8
Comedy Central South Park	Animation;Comedy	US	https://jmp2.uk/plu-609ae5cd48d3200007b0a98e.m3u8
Pluto TV Adult Animation	Animation;Comedy	DE	https://jmp2.uk/plu-67f68bd2135aeda9ddf0ef54.m3u8
Pluto TV Animation	Animation;Comedy	DE	https://jmp2.uk/plu-612f761008a9e50007984ba0.m3u8
South Park	Animation;Comedy	DE	https://jmp2.uk/plu-628751bb7154a40007168843.m3u8
South Park	Animation;Comedy	DE	https://jmp2.uk/plu-64edf6eaa7ec0d000812f58c.m3u8
South Park	Animation;Comedy	DE	https://jmp2.uk/plu-62bc1f502b70e3000706298e.m3u8
South Park	Animation;Comedy	SE	https://jmp2.uk/plu-61c098df897b9d00070375c8.m3u8
South Park	Animation;Comedy	SE	https://jmp2.uk/plu-61c1e88cd168ea0007068133.m3u8
South Park	Animation;Comedy	SE	https://jmp2.uk/plu-61c0b627e3ed94000793c18a.m3u8
South Park	Animation;Comedy	US	https://jmp2.uk/plu-62bdb1c5e25122000798ac79.m3u8
South Park Armageddon	Animation;Comedy	SE	https://jmp2.uk/plu-660bff28516d260008479e23.m3u8
South Park Armageddon	Animation;Comedy	SE	https://jmp2.uk/plu-660bff5724e1d000085b7c07.m3u8
South Park Armageddon	Animation;Comedy	SE	https://jmp2.uk/plu-660bff7dc8311c0008b4bdb4.m3u8
South Park En Français	Animation;Comedy	US	https://jmp2.uk/plu-62bdb919d36cbd0007e6ab8a.m3u8
South Park Rockin' Out	Animation;Comedy	SE	https://jmp2.uk/plu-664f132c8ea5560008ce4d86.m3u8
South Park Rockin' Out	Animation;Comedy	SE	https://jmp2.uk/plu-664f1370f78a8500092df452.m3u8
South Park Rockin' Out	Animation;Comedy	SE	https://jmp2.uk/plu-664f13aff9992200084a3532.m3u8
South Park Versión Original	Animation;Comedy	DE	https://jmp2.uk/plu-63d7a8e5a9957100086bfc23.m3u8
South Park: Butters Collection	Animation;Comedy	DE	https://jmp2.uk/plu-646b14a0e94c3800082a8d3a.m3u8
South Park: Butters Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d87a66ec9fda0008a5ac11.m3u8
South Park: Butters Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d87fcb66eec8000887f4aa.m3u8
South Park: Butters Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d881d566eec8000887f6bb.m3u8
South Park: Cartman Collection	Animation;Comedy	DE	https://jmp2.uk/plu-646b14747cb4b1000875724d.m3u8
South Park: Cartman Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d87a058145cb0008265c2e.m3u8
South Park: Cartman Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d87fa0f7f0af0008b2358b.m3u8
South Park: Cartman Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d881b1332fec000833a122.m3u8
South Park: Cartman Collection	Animation;Comedy	US	https://jmp2.uk/plu-65df4934f7f0af0008c32545.m3u8
South Park: Coleção Cartman	Animation;Comedy	US	https://jmp2.uk/plu-65df71008b24c80008f04281.m3u8
South Park: Coleção Kenny	Animation;Comedy	US	https://jmp2.uk/plu-65df704366eec8000898e32f.m3u8
South Park: Coleção Kyle	Animation;Comedy	US	https://jmp2.uk/plu-65df713dec9fda0008b7a81d.m3u8
South Park: Coleção Stan	Animation;Comedy	US	https://jmp2.uk/plu-65df70b0f7f0af0008c3b316.m3u8
South Park: Colección Cartman	Animation;Comedy	US	https://jmp2.uk/plu-65df731cec9fda0008b7aa8d.m3u8
South Park: Colección Kenny	Animation;Comedy	US	https://jmp2.uk/plu-65df7272ec9fda0008b7a970.m3u8
South Park: Colección Kyle	Animation;Comedy	US	https://jmp2.uk/plu-65df73520d4561000817c29b.m3u8
South Park: Colección Stan	Animation;Comedy	US	https://jmp2.uk/plu-65df72db18036500081a8292.m3u8
South Park: Into the Stars	Animation;Comedy	SE	https://jmp2.uk/plu-664f0eaa8ce31100088036bd.m3u8
South Park: Into the Stars	Animation;Comedy	SE	https://jmp2.uk/plu-664f0ecc41af640008e37b43.m3u8
South Park: Into the Stars	Animation;Comedy	SE	https://jmp2.uk/plu-664f0eea0120f40008bf97d6.m3u8
South Park: Kenny Collection	Animation;Comedy	DE	https://jmp2.uk/plu-646b1404ee6a2f00082b5d66.m3u8
South Park: Kenny Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d879bd0d4561000805d190.m3u8
South Park: Kenny Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d87f53ec9fda0008a5b810.m3u8
South Park: Kenny Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d880cea25d5e0008315b0a.m3u8
South Park: Kenny Collection	Animation;Comedy	US	https://jmp2.uk/plu-65df47f428730900089f83ac.m3u8
South Park: Kyle Collection	Animation;Comedy	DE	https://jmp2.uk/plu-646b14d0e1979c0008915a09.m3u8
South Park: Kyle Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d87a908145cb0008265c6d.m3u8
South Park: Kyle Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d88004ec9fda0008a5b8b3.m3u8
South Park: Kyle Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d882394e01740008a36768.m3u8
South Park: Kyle Collection	Animation;Comedy	US	https://jmp2.uk/plu-65df49b30d45610008172c5b.m3u8
South Park: Original Version	Animation;Comedy	DE	https://jmp2.uk/plu-646b150a15939400089e2702.m3u8
South Park: Stan Collection	Animation;Comedy	DE	https://jmp2.uk/plu-646b1438e94c3800082a8cff.m3u8
South Park: Stan Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d879e266eec8000887e91b.m3u8
South Park: Stan Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d87f7a28730900088e7fbf.m3u8
South Park: Stan Collection	Animation;Comedy	SE	https://jmp2.uk/plu-65d881914e01740008a36603.m3u8
South Park: Stan Collection	Animation;Comedy	US	https://jmp2.uk/plu-65df48ba28730900089f8480.m3u8
South Park: Welcome to Canada!	Animation;Comedy	US	https://jmp2.uk/plu-663115d923e24f000843b49c.m3u8
GikTVMX (720p)	Animation;Culture;Entertainment	MX	https://pistream.ddns.net/hls/stream.m3u8
Banijay Mr Bean Animé (1080p)	Animation;Kids	GB	https://amg00627-amg00627c31-rakuten-fr-3991.playouts.now.amagi.tv/playlist/amg00627-banijayfast-mrbeanfrcc-rakutenfr/playlist.m3u8
Detective Conan	Animation;Kids	US	https://jmp2.uk/plu-629a066860ef810008267b70.m3u8
Detective Conan France (720p)	Animation;Kids	US	https://jmp2.uk/plu-62f3e8ad2a8e8000077b013d.m3u8
Disney Jr. Latin America (576p)	Animation;Kids	AR	http://190.93.224.42/DISNEY-JR/index.m3u8
Hasbro Legends (1080p) [Geo-blocked]	Animation;Kids	US	https://amg02713-amg02713c11-amgplt0852.playout.now3.amagi.tv/ts-us-e2-n2/playlist/amg02713-amg02713c11-amgplt0852/playlist.m3u8
Mr. Bean Animated (1080p)	Animation;Kids	GB	https://amg00627-amg00627c23-samsung-au-4110.playouts.now.amagi.tv/playlist.m3u8
Mr. Bean Anime Italy (1080p)	Animation;Kids	GB	https://amg00627-amg00627c29-rakuten-it-3989.playouts.now.amagi.tv/playlist/amg00627-banijayfast-mrbeanitcc-rakutenit/playlist.m3u8
Mr. Bean Anime Spain (1080p)	Animation;Kids	GB	https://amg00627-amg00627c30-rakuten-es-3990.playouts.now.amagi.tv/playlist/amg00627-banijayfast-mrbeanescc-rakutenes/playlist.m3u8
Nickelodeon Pluto TV (720p)	Animation;Kids	US	https://jmp2.uk/plu-5ca673e0d0bd6c2689c94ce3.m3u8
NickToons Brasil (480p)	Animation;Kids	BR	https://stmv2.srvif.com/nicktoons/nicktoons/playlist.m3u8
Pixel.tv (720p)	Animation;Kids	PL	https://jmp2.uk/plu-66bb374ba4ee27000841a62c.m3u8
Pluto TV Retro Toons	Animation;Kids	DE	https://jmp2.uk/plu-611e6a9b4bb5790007a6f0f8.m3u8
Pluto TV Retro Toons	Animation;Kids	DE	https://jmp2.uk/plu-5c5c2b9d8002db3c3e0b1c6d.m3u8
Pokémon	Animation;Kids	US	https://jmp2.uk/plu-6683cd71a1d7ad000866ec6a.m3u8
Pokémon	Animation;Kids	US	https://jmp2.uk/plu-687007a8ee4155e89a8f6d67.m3u8
Sony Yay!	Animation;Kids	IN	https://s3.itcnbd.live/channel/b22941f1341d7243.m3u8
Spacetoon Arabic (576p)	Animation;Kids	AE	https://live-uae-next.spacetoongo.com/ST_MENA_NEXT/hls/r9p2hjipmw2kl.m3u8
Teenage Mutant Ninja Turtles (720p)	Animation;Kids	DE	https://jmp2.uk/plu-62619405c733e8000732d1fe.m3u8
Tooku (1080p)	Animation;Kids	RU	http://live-saha.cdnvideo.ru/saha/tooky/playlist.m3u8
WOW Kidz (720p)	Animation;Kids	IN	https://yuppparoriglin.akamaized.net/181224/smil:wowkidzhindi.smil/playlist.m3u8?hdnts=st=1735898689~exp=1835898688~acl=*~hmac=f5fe24724fe05481e3841f9eb5ab8efdee0a3dd83645ae9dcf45703f525bab7b
Xtrema Cartoons	Animation;Kids	AR	https://stmv6.voxtvhd.com.br/xtremacartoons/xtremacartoons/playlist.m3u8
MCN6 Music Channel (1080p) [Not 24/7]	Animation;Kids;Music	US	https://d18fcxaqfnwjhj.cloudfront.net/CDN_Ingest/MCN6_MUSIC.smil/Playlist.m3u8
3ABN Kids Network	Animation;Kids;Religious	US	https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8
Kuriakos Kids (1080p)	Animation;Kids;Religious	PT	https://w2.manasat.com/kkids/smil:kkids.smil/playlist.m3u8
Avatar	Animation;Kids;Series	DE	https://jmp2.uk/plu-656df599c0fc8800089c75ab.m3u8
Avatar	Animation;Kids;Series	SE	https://jmp2.uk/plu-61c09b48d6d97900076e91c5.m3u8
+Perfil	Argentina	AR	https://unlimited1-us.dps.live/perfiltv/perfiltv.smil/perfiltv/livestream2/chunks.m3u8
10 HD	Australia	AU	https://i.mjh.nz/.r/10-nsw.m3u8
10 Peach	Australia	AU	https://i.mjh.nz/.r/10peach-nsw.m3u8
7flix	Australia	AU	https://i.mjh.nz/.r/7flix-syd.m3u8
7mate	Australia	AU	https://i.mjh.nz/.r/7mate-syd.m3u8
7two	Australia	AU	https://i.mjh.nz/.r/7two-syd.m3u8
Nine	Australia	AU	https://i.mjh.nz/.r/channel-9-nsw.m3u8
Seven	Australia	AU	https://i.mjh.nz/.r/seven-syd.m3u8
oe24	Austria	AT	https://oe24.mdn.ors.at/live/eds/oe24tv_hd/hls_nodrm/oe24tv_hd-nodrm.m3u8
Servus TV Ⓖ	Austria	AT	https://rbmn-live.akamaized.net/hls/live/2002825/geoSTVATweb/master.m3u8
30A We Love Cars (720p)	Auto	US	https://30a-tv.com/feeds/vidaa/cars.m3u8
Auto Plus	Auto	RU	https://stream8.cinerama.uz/1036/tracks-v1a1/mono.m3u8
Avto24 (576p)	Auto	RU	http://stream.mcquack.net/78/index.m3u8
Canal Motor	Auto	NO	https://digicom.hls.iptvdc.com/motorstv/index.m3u8
Canal Motor (720p)	Auto	NO	https://digicom.hls.iptvdc.com/canalmotor/index.m3u8
Drive (576i)	Auto	RU	https://stream8.cinerama.uz/1421/tracks-v1a1/mono.m3u8
Garage TV Latin America	Auto	AR	https://stream1.sersat.com/hls/garagetv.m3u8
InTrouble	Auto	NL	https://amg00861-amg00861c6-rlaxx-uk-3951.playouts.now.amagi.tv/playlist.m3u8
InTrouble	Auto	NL	https://amg00861-terncloud-amg00861c6-cineverse-us-964.playouts.now.amagi.tv/playlist/amg00861-terninternationalfast-introublehd-cineverseus/playlist.m3u8
Motorvision	Auto	DE	https://stream.ads.ottera.tv/playlist.m3u8?network_id=535
Motorvision	Auto	DE	https://jmp2.uk/plu-60e5ea9a9bb4200008376f76.m3u8
Motorvision (1080p)	Auto	DE	https://mvg-mv-xumo.otteravision.com/mvg/mv/mv.m3u8
Motowizja	Auto	PL	https://polska.hach.workers.dev/14808.m3u8
Pershyi avtomobilnyi (1080p)	Auto	UA	http://stream.mcquack.net/404/index.m3u8
Pluto TV Cars	Auto	US	https://jmp2.uk/plu-69c592dff0f1a7d732dc6e36.m3u8
Pluto TV Cars	Auto	US	https://jmp2.uk/plu-5812b3a4249444e05d09cc46.m3u8
Pluto TV Motor	Auto	DE	https://jmp2.uk/plu-6080345ebb49b90007ce0baf.m3u8
Pluto TV Motor	Auto	SE	https://jmp2.uk/plu-68ac51dede4a734954b5a67a.m3u8
Pluto TV Motor	Auto	SE	https://jmp2.uk/plu-68ac52b05190a45dc990ee39.m3u8
Pluto TV Motor	Auto	SE	https://jmp2.uk/plu-68ac52fac9b5923e0585578b.m3u8
PowerNation (1080p)	Auto	US	https://amg01258-raycomsports-powernationau-samsungau-18bwc.amagi.tv/playlist.m3u8
PowerNation TV	Auto	US	https://amg01258-raycomsports-powernationnz-samsungnz-q92ks.amagi.tv/playlist.m3u8
PowerNation TV	Auto	US	https://jmp2.uk/plu-63b48016d9dd51000828fa37.m3u8
PowerNation TV	Auto	US	https://d1g3ue0w0jg45k.cloudfront.net/POWERNATION.m3u8
REV'N Action	Auto	US	https://lukentvlive.vgcdn.net/v1/master/cef183924f24adfa3d5d7601c3a17769082c0c2b/Revn/index.m3u8
Shift TV (1080p)	Auto	HR	https://hls.shift.tv/live/shifttv/playlist.m3u8
wedotv Auta (480p)	Auto	PL	https://amg00735-amg00735c57-rakuten-de-10677.playouts.now.amagi.tv/ts-eu-w1-n2/playlist/amg00735-videosolutionsagfast-wedotvauta-rakutende/cb553d1e726c678e9cd43d67d3ef42a0df2416fc087a8d6933fb4b926bc10f41f4e2a581b212bb785d9914ce1c553f080132c0099c3a0bc6da73b6512d6c6021c9c3ed64d89d1b17b2c8797368e62c4119e10f11d93b53309dbb1858dd68ec2b005ebb0d6f577fdcec0fac6b5ac58402967a7c82fc8e68312f5e56cd543fa29a7c9b1f0f5d65e94693d1605aa34f1abbd31c9df63d81b2a13ebedf52bbc33eabe7b5c98c50d7acad5b3ef4ac466f6f236f8a816ed1b835750fce1b5bcd2552213354fcac85f74f76ee2d250ca9b29fe635ad50a6fd540358406cb1d865a44989e5902bf9691a80e7d6fa575336b4c1145626b2f6a19dc1d352d742d6adf3d47f7098b94136178925f92c2f2a9ff4cf54d5954ed69b2c87bd651863808353c1cce6daa1e0c40abb20c9ccfbd76c16172d5442a054b09f6bd4319229fc975d712e202ecabb5bc094d65734102dd7d6249b797c8cd5808dd01935b0163c5fe665cb52062ced3a686eea24fdda11638b2f06807751d65737894ef9f81cfda8d5e00c58e48e91a29ebd7f4ba5b486210eed8f29b009af85251fe39768f8/106/426x240_611520/index.m3u8
Сити Эдем АвтоГид [Not 24/7]	Auto	RU	https://cityeden.catcast.tv/content/47515/index.m3u8
Pluto TV Turbo	Auto;Documentary	US	https://jmp2.uk/plu-6014761dfb91870008ea6463.m3u8
Top Gear (720p)	Auto;Entertainment	GB	https://jmp2.uk/plu-636adc255bcf470007d6e0e2.m3u8
Rev'n Action (720p)	Auto;Outdoor;Series;Sports	US	https://freecast-lukentvlive.vgcdn.net/out/v1/a4f31f297fc5440f814bd2cffd77e689/index.m3u8
INTROUBLE (1080p)	Auto;Outdoor;Sports	NL	https://amg00861-amg00861c6-stirr-us-8229.playouts.now.amagi.tv/playlist.m3u8
Choppertown (720p)	Auto;Series	US	https://linear-11.frequency.stream/dist/glewedtv/11/hls/master/playlist.m3u8
Fun Roads (720p)	Auto;Travel	US	https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=978
Belros Ⓢ	Belarus	BY	https://live2.mediacdn.ru/sr1/tro/playlist.m3u8
Беларусь 1	Belarus	BY	https://edge55.dc.beltelecom.by/ngtrk/smil:belarus1.smil/playlist.m3u8
Беларусь 2	Belarus	BY	https://edge55.dc.beltelecom.by/ngtrk/smil:belarus2.smil/playlist.m3u8
Беларусь 24	Belarus	BY	https://edge55.dc.beltelecom.by/ngtrk/smil:belarus24.smil/playlist.m3u8
Беларусь 3	Belarus	BY	https://edge55.dc.beltelecom.by/ngtrk/smil:belarus3.smil/playlist.m3u8
Беларусь 5	Belarus	BY	https://edge55.dc.beltelecom.by/ngtrk/smil:belarus5.smil/playlist.m3u8
Беларусь 5 Интернет	Belarus	BY	https://edge55.dc.beltelecom.by/ngtrk/smil:belarus5int.smil/playlist.m3u8
ОНТ Ⓢ	Belarus	BY	https://ngtrk.dc.beltelecom.by/ngtrk/smil:ont.smil/playlist.m3u8
ISTV	Brazil	BR	https://video08.logicahost.com.br/istvnacional/srt.stream/istvnacional.m3u8
Rede Brasil	Brazil	BR	https://video09.logicahost.com.br/redebrasiloficial/redebrasiloficial/playlist.m3u8
TV1	Bulgaria	BG	https://tv1.cloudcdn.bg/temp/livestream.m3u8
30A Investment Pitch (720p)	Business	US	https://30a-tv.com/feeds/xodglobal/30atv.m3u8
Al Arabiya Business (1080p)	Business	AE	https://live.alarabiya.net/alarabiapublish/aswaaq.smil/playlist.m3u8
Aleph Business (1280p)	Business	RO	https://streamw.m.ro/Aleph/ngrp:Alephbiz.stream_all/playlist.m3u8
Ameritrade (1080p) [Not 24/7]	Business	US	https://tdameritrade-vizio.amagi.tv/playlist.m3u8
Asharq News	Business	SA	https://shd-gcp-live.edgenextcdn.net/live/bitmovin-asharq/10ae30c64e21402c8116a7fb1e5aa789/index.m3u8
Asharq News	Business	SA	https://svs.itworkscdn.net/bloomberarlive/bloomberg.smil/playlist_dvr.m3u8
ausbiz TV (720p) [Not 24/7]	Business	AU	https://d9quh89lh7dtw.cloudfront.net/public-output/index.m3u8
BFM Business	Business	FR	https://live-cdn-stream-euw1.bfmb.bct.nextradiotv.com/master.m3u8
Bloomberg HT	Business	TR	https://tv.ensonhaber.com/bloomberght/bloomberght.m3u8
Bloomberg TV	Business	US	https://jmp2.uk/plu-62b976b93279cb000772c6f9.m3u8
Bloomberg TV	Business	US	https://jmp2.uk/plu-61de991729cd4a00079f812b.m3u8
Bloomberg TV	Business	US	https://cdn4.skygo.mn/live/disk1/Bloomberg/HLSv3-FTA/Bloomberg.m3u8
Bloomberg TV	Business	US	https://jmp2.uk/plu-61de8d4b8acf6c0007f1c2f3.m3u8
Bloomberg TV	Business	US	https://jmp2.uk/plu-61de8fa251cca800076dde41.m3u8
Bloomberg TV	Business	US	https://jmp2.uk/plu-61559552dd585f0007321eca.m3u8
Bloomberg TV	Business	US	https://66e4bbba.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/TEctZ2JfQmxvb21iZXJnVFZQbHVzX0hMUw/playlist.m3u8
Bloomberg TV	Business	US	https://bloomberg.com/media-manifest/streams/phoenix-us.m3u8
Bloomberg TV	Business	US	https://jmp2.uk/plu-54ff7ba69222cb1c2624c584.m3u8
Bloomberg TV	Business	US	https://d2d98ykcmmhgd4.cloudfront.net/v1/bloomberg_bloombergtv_2/samsungheadend_us/latest/main/hls/playlist.m3u8
Bloomberg TV	Business	US	https://bloomberg.com/media-manifest/streams/us.m3u8
Bloomberg TV Asia (720p)	Business	US	https://bloomberg.com/media-manifest/streams/asia.m3u8
Bloomberg TV Asia Live Event (720p)	Business	US	https://bloomberg.com/media-manifest/streams/asia-event.m3u8
Bloomberg TV Australia (270p)	Business	US	https://bloomberg.com/media-manifest/streams/aus.m3u8
Bloomberg TV EMEA Live Event (720p)	Business	US	https://bloomberg.com/media-manifest/streams/eu-event.m3u8
Bloomberg TV Europe (720p)	Business	US	https://bloomberg.com/media-manifest/streams/eu.m3u8
Bloomberg TV Mongolia	Business	MN	https://cdn4.skygo.mn/live/disk1/BloombergMon/HLSv3-FTA/BloombergMon.m3u8
Bloomberg TV US Live Event (720p)	Business	US	https://bloomberg.com/media-manifest/streams/us-event.m3u8
Bloomberg TV US Politics Live Event (720p)	Business	US	https://bloomberg.com/media-manifest/streams/politics.m3u8
