# name	group	country	url
Racer Select	US - Sports	US	https://d85qrcmltdfp8.cloudfront.net/MAVTV_Select.m3u8
Racer Select (1080p)	US - Sports	US	https://amg00378-amg00378c4-freelivesports-emea-5637.playouts.now.amagi.tv/playlist.m3u8
Rally TV	US - Sports	US	https://jmp2.uk/plu-696e02423b9ce349c90edef9.m3u8
Rally TV	US - Sports	US	https://jmp2.uk/plu-696e0fe49ba4ac18057433ac.m3u8
Rally TV	US - Sports	US	https://jmp2.uk/plu-696e024a7e92438c27a425a8.m3u8
Rally TV (1080p)	US - Sports	US	https://rally-tv-live.akamaized.net/hls/live/2117704/RallyTV-Pri/master.m3u8
Rev'n Action (720p)	US - Sports	US	https://freecast-lukentvlive.vgcdn.net/out/v1/a4f31f297fc5440f814bd2cffd77e689/index.m3u8
Right Now TV	US - Sports	US	https://2-fss-1.streamhoster.com/pl_154/amlst:205448-2145652/rightnowtv.m3u8
RightNow TV (720p)	US - Sports	US	https://a-cdn.klowdtv.com/live2/rightnowtv_720p/playlist.m3u8
Slopes TV (720p)	US - Sports	US	https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=2241
SportsGrid	US - Sports	US	https://amg00315-sportsgrid-firetv.amagi.tv/playlist.m3u8
SportsGrid	US - Sports	US	https://sportsgrid-klowdtv.amagi.tv/playlist.m3u8
SportsGrid	US - Sports	US	https://sportsgrid-plex.amagi.tv/playlist.m3u8
SportsGrid	US - Sports	US	https://sportsgrid-samsungus.amagi.tv/playlist.m3u8
SportsGrid (1080p)	US - Sports	US	https://sportsgrid-tribal.amagi.tv/playlist.m3u8
Stadium	US - Sports	US	https://aegis-cloudfront-1.tubi.video/74681dcc-e6d0-4add-ad67-a22ad9c152e6/playlist.m3u8
Strongman	US - Sports	US	https://rightsboosterltd-scl-1-gb.samsung.wurl.tv/playlist.m3u8
Strongman (720p)	US - Sports	US	https://rightsboosterltd-scl-1-eu.rakuten.wurl.tv/playlist.m3u8
Strongman Champions League (720p)	US - Sports	US	https://rightsboosterltd-scl-2-eu.rakuten.wurl.tv/playlist.m3u8
Swerve Combat (1080p)	US - Sports	US	https://linear-253.frequency.stream/mt/roku/253/hls/master/playlist.m3u8
Swerve Sports	US - Sports	US	https://a-cdn.klowdtv.com/live3/swervewomenssports_720p/playlist.m3u8
